Code,Description
100,Suspect Impersonate
101,Aid victim
102,Blind
103,Physically disabled
104,Customer
105,Delivery
106,Doctor
107,God
108,Infirm
109,Inspector
110,Involved in traffic/accident
112,Police
113,Renting
114,Repair Person
115,Returning stolen property
116,Satan
117,Salesman
118,Seeking someone
119,Sent by owner
120,Social Security/Medicare
121,DWP/Gas Company/Utility worker
122,Contractor
123,Gardener/Tree Trimmer
200,Suspect wore disguise
201,Bag
202,Cap/hat
203,Cloth (with eyeholes)
204,Clothes of opposite sex
205,Earring
206,Gloves
207,Handkerchief
208,Halloween mask
209,Mask
210,Make up (males only)
211,Shoes
212,Nude/partly nude
213,Ski mask
214,Stocking
215,Unusual clothes
216,Suspect wore hood/hoodie
217,Uniform
218,Wig
219,Mustache-Fake
220,Suspect wore motorcycle helmet
301,Escaped on (used) transit train
302,Aimed gun
303,Ambushed
304,Ate/drank on premises
305,Attacks from rear
306,Crime on upper floor
307,Defecated/urinated
308,Demands jewelry
309,Drive-by shooting
310,Got victim to withdraw savings
311,Graffiti
312,Gun in waistband
313,Hid in building
314,Hot Prowl
315,Jumped counter/goes behind counter
316,Makes victim give money
317,Pillowcase/suitcase
318,Prepared exit
319,Profanity Used
320,Quiet polite
321,Ransacked
322,Smashed display case
323,Smoked on premises
324,Takes money from register
325,Took merchandise
326,Used driver
327,Used lookout
328,Used toilet
329,Vandalized
330,Victims vehicle taken
331,Mailbox Bombing
332,Mailbox Vandalism
333,Used hand held radios
334,Brandishes weapon
335,Cases location
336,Chain snatch
337,Demands money
338,Disables Telephone
339,Disables video camera
340,Suspect follows victim/follows victim home
341,Makes vict lie down
342,Multi-susps overwhelm
343,Orders vict to rear room
344,Removes vict property
345,Riding bike
346,Snatch property and runs
347,Stalks vict
348,Takeover other
349,Takes mail
350,Concealed victim's body
351,Disabled Security
352,Took Victim's clothing or jewelry
353,Weapon Concealed
354,Suspect takes car keys
355,Demanded property other than money
356,Suspect spits on victim
357,Cuts or breaks purse strap
358,Forces Entry
359,Made unusual statement
360,Suspect is Other Family Member
361,Suspect is neighbor
362,Suspect attempts to carry victim away
363,Home invasion
364,Suspect is babysitter
365,Takeover robbery
366,Ordered vict to open safe
367,Was Transit Patrol
368,Suspect speaks foreign language
369,Suspect speaks spanish
370,Frisks victim/pats down victim/searches victim
371,Gang affiliation questions asked/made gang statement
372,Photographed victim/took pictures of victim
373,Physicall disabled/in wheelchair
374,Gang signs/threw gang signs using hands
375,Removes cash register
376,Makes victim kneel
377,Takes vict's identification/driver license
378,Brings own bag
379,Turns off lights/electricity
380,Distracts Victim
381,Suspect apologizes
382,Removed money/property from safe
383,Suspect entered during open house/party/estate/yard sale
384,Suspect removed drugs from location
385,Suspect removed parts from vehicle
386,Suspect removed property from trunk of vehicle
387,Weapon (other than gun) in waistband
388,Suspect points laser at plane/helicopter
389,Knock-knock
390,Purse snatch
391,Used demand note
392,False Emergency Reporting
393,911 Abuse
394,Susp takes UPS, Fedex, USPS packages
395,Murder/Suicide
396,Used paper plates to disguise license number
397,Cut lock (to bicycle, gate, etc.
398,Roof access (remove A/C, equip, etc.)
399,Vehicle to Vehicle shooting
400,Force used
401,Bit
402,Blindfolded
403,Bomb Threat, Bomb found
404,Bomb Threat, no bomb
405,Bound
406,Brutal Assault
407,Burned Victim
408,Choked/uses choke hold/Strangulation
409,Cover mouth w/hands
410,Covered victim's face
411,Cut/stabbed
412,Disfigured
413,Drugged
414,Gagged
415,Handcuffed/Metal
416,Hit-Hit w/ weapon
417,Kicked
418,Kidnapped
419,Pulled victims hair
420,Searched
421,Threaten to kill
422,Threaten Victims family
423,Tied victim to object
424,Tore clothes off victim
425,Tortured
426,Twisted arm
427,Whipped
428,Dismembered
429,Vict knocked to ground
430,Vict shot
431,Sprayed with chemical
432,Intimidation
433,Makes victim kneel
434,Bed Sheets/Linens
435,Chain
436,Clothing
437,Flexcuffs/Plastic Tie
438,Rope/Cordage
439,Tape/Electrical etc...
440,Telephone/Electric Cord
441,Wire
442,Active Shooter/Armed person who has used deadly physical force on other
,persons & aggressively continues while having access to more victim's
443,Threaten to harm victim (other than kill)
444,Pushed
445,Suspect swung weapon
446,Suspect swung fist
447,Suspect threw object at victim
448,Grabbed
449,Put a weapon to body
450,Suspect shot at victim (no hits)
451,Suffocation
500,Sex related acts
501,Susp ejaculated outside victim
502,Fecal Fetish
503,Fondle victim
504,Forced to disrobe
505,Forced to fondle suspect
506,Forced to masturbate suspect
507,Forced to orally copulate suspect
508,Hit victim prior, during, after act
509,Hugged
510,Kissed victims body/face
511,Masochism/bondage
512,Orally copulated victim
513,Photographed victim
514,Pornography
515,Put hand, finger or object into vagina
516,Reached climax/ejaculated
517,Sadism/Sexual gratification obtained by infliction of physical or mental pain on others
518,Simulated intercourse
519,Sodomy
520,Solicited/offered immoral act
521,Tongue or mouth to anus
522,Touched
523,Unable to get erection
524,Underwear Fetish
525,Urinated
526,Utilized Condom
527,Actual Intercourse
528,Masturbate
529,Indecent Exposure
530,Used lubricant
531,Suspect made sexually suggestive remarks
532,Suspect undressed victim
533,Consentual Sex
534,Suspect in vehicle nude/partially nude
535,Suspect asks minor's name
536,Suspect removes own clothing
537,Suspect removes victim's clothing
538,Suspect fondles self
539,Suspect puts hand in victim's rectum
540,Suspect puts finger(s) in victim's rectum
541,Suspect puts object(s) in victim's rectum
542,Orders victim to undress
543,Orders victim to fondle suspect
544,Orders victim to fondle self
545,Male Victim of sexual assault
546,Susp instructs vict to make certain statements
547,Suspect force vict to bathe/clean/wipe
548,Suspect gives victim douche/enema
549,Suspect ejaculates in victims mouth
550,Suspect licks victim
551,Suspect touches victim genitalia/genitals over clothing
552,Suspect is Victim's Father
553,Suspect is Victim's Mother
554,Suspect is Victim's Brother
555,Suspect is Victim's Sister
556,Suspect is Victim's Step-Father
557,Suspect is Victim's Step-Mother
558,Suspect is Victim's Uncle
559,Suspect is Victim's Aunt
560,Suspect is Victim's Guardian
561,Suspect is Victim's Son
562,Suspect is Victim's Daughter
563,Fetish, Other
601,Business
602,Family
603,Landlord/Tenant/Neighbor
604,Reproductive Health Services/Facilities
605,Traffic Accident/Traffic related incident
701,THEFT: Trick or Device
800,BUNCO
901,Organized Crime
902,Political Activity
903,Hatred/Prejudice
904,Strike/Labor Troubles
905,Terrorist Group
906,Gangs
907,Narcotics (Buy-Sell-Rip)
908,Prostitution
909,Ritual/Occult
910,Public Transit (Metrolink/Train Station,Metro Rail Red,Line Subway Station,
,Metro Rail Blue Line Station,adjacent transit parking lots, tracks or tunnels
,MTA(RTD), and other municipal lines.
911,Revenge
912,Insurance
913,Victim knew Suspect
914,Other Felony
915,Parolee
916,Forced theft of vehicle (Car-Jacking)
917,Victim's Employment
918,Career Criminal
919,Road Rage
920,Homeland Security
921,Hate Incident
922,ATM Theft with PIN number
923,Stolen/Forged Checks (Personal Checks)
924,Stolen/Forged Checks (Business Checks)
925,Stolen/Forged Checks (Cashier's Checks)
926,Forged or Telephonic Prescription
